Liberia Ebola SitRep no. 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Health and Social Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sept. 13, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,National,,,Bomi County,,,Bong County,,,,,Gbarpolu County,,,,Grand Bassa,,,,,Grand Cape Mount,,,Grand Gedeh,,,Lofa County,,,,,Margibi County,,,,,Maryland County,,,,,"Montserrado
County",,,,Nimba County,,,,River Gee County,,,RiverCess County,,,,,Sinoe County,,,,,,,,,,,,,,,,,,
New Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Case/s (Suspected),,,,,24,,,1,,,0,,,,,0,,,,0,,,,,0,,,0,,,0,,,,,9,,,,,0,,,,,14,,,,0,,,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,
New Case/s (Probable),,,,,32,,,0,,,0,,,,,0,,,,0,,,,,0,,,0,,,8,,,,,13,,,,,0,,,,,3,,,,8,,,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,
New case/s (confirmed),,,,,7,,,0,,,6,,,,,0,,,,0,,,,,0,,,0,,,0,,,,,1,,,,,0,,,,,0,,,,0,,,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,
Total suspected cases,,,,,654,,,7,,,107,,,,,1,,,,21,,,,,6,,,3,,,53,,,,,200,,,,,3,,,,,218,,,,27,,,,6,,,0,,,,,2,,,,,,,,,,,,,,,,,,
Total probable cases,,,,,"121
2",,,43,,,47,,,,,0,,,,12,,,,,5,,,0,,,394,,,,,211,,,,,9,,,,,413,,,,75,,,,3,,,0,,,,,0,,,,,,,,,,,,,,,,,,
Total confirmed cases,,,,,797,,,33,,,50,,,,,0,,,,13,,,,,6,,,0,,,260,,,,,34,,,,,0,,,,,352,,,,47,,,,0,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Total Number of Confirmed Cases of Sierra Leonean Nationality,,,,,13,,,0,,,0,,,,,0,,,,0,,,,,1,,,0,,,11,,,,,1,,,,,0,,,,,0,,,,0,,,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,
"Total Number of Confirmed Cases of
Guinean Nationality",,,,,4,,,3,,,0,,,,,0,,,,0,,,,,0,,,0,,,0,,,,,0,,,,,0,,,,,1,,,,0,,,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,
"Cumulative (confirmed, probable, suspected) cases",,,,,"266
3",,,83,,,204,,,,,1,,,,46,,,,,17,,,3,,,707,,,,,445,,,,,12,,,,,983,,,,149,,,,9,,,1,,,,,3,,,,,,,,,,,,,,,,,,
Cases among HCWs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,National,,,Bomi County,,,,,Bong County,,,,,Gbarpolu County,,,,Grand Bassa,,,,,Grand Cape Mount,,,,Grand Gedeh,,,,,Lofa County,,,,,Margibi County,,,,,,Maryland County,,,,Montserrado County,,,,Nimba County,,,,River Gee County,,,,,RiverCess County,,,,Sinoe County,,,,,,,,,,,
"Newly Reported Cases in HCW on 13th
Sept. 2014",,,,,,0,,,0,,,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,,,,,,,,
Cumulative cases among HCW,,,,,,170,,,5,,,,,26,,,,,0,,,,3,,,,,3,,,,0,,,,,20,,,,,37,,,,,,0,,,,70,,,,6,,,,0,,,,,0,,,,0,,,,,,,,,,,
Newly Reported deaths in HCW on 13th Sept. 2014,,,,,,2,,,0,,,,,0,,,,,0,,,,0,,,,,0,,,,0,,,,,0,,,,,0,,,,,,0,,,,0,,,,2,,,,0,,,,,0,,,,0,,,,,,,,,,,
Cumulative deaths among HCW,,,,,,82,,,5,,,,,6,,,,,0,,,,1,,,,,0,,,,0,,,,,17,,,,,19,,,,,,0,,,,32,,,,2,,,,0,,,,,0,,,,0,,,,,,,,,,,
Isolation and Discharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,National,,Bomi County,,,,,,Bong County,,,,,Gbarpolu County,,,,,Grand Bassa,,,,,Grand Cape Mount,,,,,Grand Gedeh,,,,,Lofa County,,,,,Margibi County,,,,,Maryland County,,,,,Montserrado County,,,,Nimba County,,,,,,River Gee County,,,,RiverCess County,,,,,Sinoe County,,,,,,
"New Admission on Sept. 13, 2014",,,,,,,15,,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,8,,,,,6,,,,,0,,,,,0,,,,0,,,,,,0,,,,0,,,,,0,,,,,,
Total no. currently in Treatment Units,,,,,,,24,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,24,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,0,,,,,0,,,,,,
Total discharges on 13th Sept. 2014,,,,,,,4,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,4,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,0,,,,,0,,,,,,
Cumulative admission/isolation,,,,,,,24,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,24,,,,,0,,,,,0,,,,,0,,,,0,,,,,,0,,,,0,,,,,0,,,,,,
Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,Bomi County,,,,,,Bong County,,,,Gbarpolu County,,,,,Grand Bassa,,,,,Grand Cape Mount,,,,,,Grand Gedeh,,,,,,Lofa County,,,,,Margibi County,,,,Maryland County,,,,Montserrado County,,,,,,Nimba County,,,,,River Gee County,,,,RiverCess County,,,,,Sinoe County,,,
Newly reported deaths 13th Sept. 2014,,,,,,,11,,,,,,,,,1,,,,,0,0,,,,,,,,,0,0,,,,,,0,,,,,,1,,,,,4,,,,0,,,,4,,,,,,1,,,,,0,,,,0,,,,,0,,,
Total death/s in confirmed cases,,,,,,,604,,,,,27,,,,,,12,,,,0,,,,,13,,,,,6,,,,,,0,,,,,,170,,,,,34,,,,0,,,,309,,,,,,32,,,,,0,,,,0,,,,,1,,,
Total death/s in probable cases,,,,,,,508,,,,,26,,,,,,14,,,,0,,,,,,,,,3,3,,,,,,0,,,,,,168,,,,,90,,,,4,,,,151,,,,,,48,,,,,0,,,,1,,,,,0,,,
Total death/s in suspected cases,,,,,,,301,,,,,,,,,0,,30,,,,0,,,,,,,,,3,5,,,,,,2,,,,,,36,,,,,60,,,,0,,,,148,,,,,,12,,,,,5,,,,0,,,,,0,,,
"Total death/s in confirmed, probable,
suspected cases",,,,,,,1413,,,,,53,,,,,,56,,,,0,,,,,19,,,,,14,,,,,,2,,,,,,374,,,,,184,,,,4,,,,608,,,,,,92,,,,,5,,,,1,,,,,1,,,
Case Fatality Rate (CFR) - Confirmed & Probable Cases,,,,,,,55.4,,,,,70,,,,,,27,,,,0,,,,,64,,,,,82,,,,,,0,,,,,,52,,,,,51,,,,44,,,,60,,,,,,66,,,,,0,,,,100,,,,,100,,,
Contacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,Bomi County,,,,,,Bong County,,,,,,Gbarpolu County,,,,Grand Bassa,,,,Grand Cape Mount,,,,,Grand Gedeh,,,,,,Lofa County,,,,,,Margibi County,,,,,,Maryland County,,,,Montserrado County,,,,,,Nimba County,,,,,River Gee County,,,,RiverCess County,,,,,Sinoe County,,,,
Newly reported contacts on 13th Sept. 2014,,,,169,,,,,60,,,,,,,,,,,6,0,,,,0,,,,0,,,,,0,,,,,,23,,,,,,22,,,,,,0,,,,58,,,,,,0,,,,,0,,,,0,,,,,0,,,,
Total contacts listed,,,,8196,,,,,410,,,,,,620,,,,,,0,,,,61,,,,80,,,,,0,,,,,,432,,,,,,1344,,,,,,6,,,,4660,,,,,,544,,,,,17,,,,6,,,,,16,,,,
Currently under follow-up,,,,4414,,,,,158,,,,,,209,,,,,,0,,,,61,,,,80,,,,,0,,,,,,308,,,,,,982,,,,,,6,,,,2242,,,,,,361,,,,,3,,,,4,,,,,0,,,,
Contacts seen on 13th Spet. 2014,,,,4113,,,,,156,,,,,,,,,,,0,0,,,,0,,,,77,,,,,0,,,,,,308,,,,,,982,,,,,,6,,,,2220,,,,,,361,,,,,3,,,,0,,,,,0,,,,
Contacts who completed 21 day follow-up,,,,608,,,,,54,,,,,,,,,,,9,0,,,,0,,,,0,,,,,0,,,,,,17,,,,,,99,,,,,,0,,,,171,,,,,,228,,,,,14,,,,0,,,,,16,,,,
